user_id,age,gender,device_type,time_on_site,pages_viewed,previous_purchases,cart_items,discount_seen,ad_clicked,returning_user,avg_session_time,bounce_rate,purchase,time_on_site_hours,age_group,engagement_score,engagement_level,funnel_stage,customer_stage,customer_recommendation,predicted_buyer,buyer_label
32,20,Female,Mobile,23.71,8,11,6,0,1,1,33.43,95.59,1,0.4,Young Adults,0.618,Medium,Product Explorer,Low Retention Users,Send Personalized Offers,1,Buyer
33,54,Male,Tablet,20.78,9,1,1,1,0,1,26.68,55.7,1,0.35,Senior Users,0.336,Low,Product Explorer,Casual Visitors,Recommend Popular Products,0,Non-Buyer
34,24,Male,Mobile,13.75,3,4,5,0,1,1,7.82,92.07,1,0.23,Young Adults,0.417,Medium,Visitor,Low Retention Users,Send Personalized Offers,1,Buyer
35,38,Male,Mobile,29.52,3,6,5,1,0,0,24.92,98.42,1,0.49,Mid-Age Users,0.522,Medium,Visitor,Low Retention Users,Send Personalized Offers,1,Buyer
36,26,Male,Mobile,17.5,10,3,8,0,1,1,26.17,36.02,1,0.29,Adults,0.719,High,Active Browser,Highly Engaged Users,Recommend Premium Products,1,Buyer
37,56,Male,Mobile,6.88,15,12,7,0,1,1,6.12,57.65,1,0.11,Senior Users,0.672,High,Highly Interested User,Highly Engaged Users,Recommend Premium Products,1,Buyer
38,35,Female,Mobile,9.49,13,5,4,0,1,0,11.04,84.67,1,0.16,Adults,0.491,Medium,Active Browser,Low Retention Users,Send Personalized Offers,1,Buyer
39,21,Not Specified,Mobile,21.11,19,11,6,1,1,0,12.68,27.27,1,0.35,Young Adults,0.774,High,Highly Interested User,Highly Engaged Users,Recommend Premium Products,1,Buyer
40,42,Male,Mobile,27.82,8,2,6,0,1,0,22.56,44.68,1,0.46,Mid-Age Users,0.645,Medium,Product Explorer,High Intent Users,Offer Fast Checkout Discount,1,Buyer
41,31,Male,Mobile,6.18,18,3,4,1,0,0,8.54,15.33,1,0.1,Adults,0.548,Medium,Highly Interested User,High Intent Users,Offer Fast Checkout Discount,1,Buyer
42,26,Male,Mobile,3.39,5,3,6,1,0,1,3.43,65.25,1,0.06,Adults,0.435,Medium,Product Explorer,High Intent Users,Offer Fast Checkout Discount,1,Buyer
43,43,Female,Mobile,26.56,7,14,2,1,0,1,35.19,0.42,1,0.44,Mid-Age Users,0.399,Medium,Product Explorer,Casual Visitors,Recommend Popular Products,0,Non-Buyer
44,19,Female,Mobile,27.54,5,3,6,1,1,1,14.3,44.93,1,0.46,Young Adults,0.596,Medium,Product Explorer,High Intent Users,Offer Fast Checkout Discount,1,Buyer
45,37,Female,Desktop,9.02,19,11,5,0,1,1,10.52,92.91,1,0.15,Mid-Age Users,0.638,Medium,Highly Interested User,Low Retention Users,Send Personalized Offers,1,Buyer
46,45,Male,Mobile,11.94,17,0,5,1,0,1,9.55,89.73,1,0.2,Mid-Age Users,0.626,Medium,Highly Interested User,Low Retention Users,Send Personalized Offers,1,Buyer
47,24,Male,Desktop,20.15,19,12,1,0,1,0,27.42,80.38,1,0.34,Young Adults,0.49,Medium,Highly Interested User,Low Retention Users,Send Personalized Offers,0,Non-Buyer
48,25,Male,Desktop,10.57,4,3,1,1,1,0,15.26,14.12,1,0.18,Young Adults,0.189,Low,Visitor,Casual Visitors,Recommend Popular Products,0,Non-Buyer
49,52,Male,Desktop,26.44,7,3,6,1,1,0,31.4,52.03,1,0.44,Senior Users,0.62,Medium,Product Explorer,High Intent Users,Offer Fast Checkout Discount,1,Buyer
50,31,Female,Mobile,4.12,6,5,0,1,0,1,2.66,71.91,1,0.07,Adults,0.122,Low,Product Explorer,Low Retention Users,Send Personalized Offers,0,Non-Buyer
51,34,Male,Mobile,2.1,14,8,8,1,0,0,2.03,10.12,1,0.04,Adults,0.679,High,Active Browser,Highly Engaged Users,Recommend Premium Products,1,Buyer
52,53,Male,Mobile,7.05,19,9,2,0,1,1,6.8,14.7,1,0.12,Senior Users,0.458,Medium,Highly Interested User,Interested Users,Recommend Popular Products,0,Non-Buyer
53,57,Male,Desktop,9.3,11,5,5,1,0,0,12.37,4.01,1,0.16,Senior Users,0.513,Medium,Active Browser,High Intent Users,Offer Fast Checkout Discount,1,Buyer
54,21,Female,Mobile,4.27,7,5,2,1,1,0,4.1,32.31,1,0.07,Young Adults,0.25,Low,Product Explorer,Casual Visitors,Recommend Popular Products,0,Non-Buyer
55,19,Female,Desktop,2.91,3,6,8,0,0,1,2.42,87.73,1,0.05,Young Adults,0.511,Medium,Visitor,Low Retention Users,Send Personalized Offers,1,Buyer
56,23,Male,Desktop,15.73,17,6,9,1,0,0,25.46,50.75,1,0.26,Young Adults,0.873,High,Highly Interested User,Highly Engaged Users,Recommend Premium Products,1,Buyer
57,59,Female,Mobile,5.76,11,0,6,1,0,1,6.61,85.33,1,0.1,Senior Users,0.545,Medium,Active Browser,Low Retention Users,Send Personalized Offers,1,Buyer
58,21,Female,Mobile,27.5,15,7,0,1,0,0,36.02,8.37,1,0.46,Young Adults,0.42,Medium,Highly Interested User,Interested Users,Recommend Popular Products,0,Non-Buyer
59,46,Female,Desktop,11.67,7,0,3,1,1,0,16.34,5.61,1,0.19,Senior Users,0.355,Low,Product Explorer,Casual Visitors,Recommend Popular Products,0,Non-Buyer
60,35,Female,Mobile,20.45,15,14,4,0,0,0,28.42,80.39,1,0.34,Adults,0.595,Medium,Highly Interested User,Low Retention Users,Send Personalized Offers,1,Buyer
61,43,Female,Mobile,7.54,17,8,6,0,0,1,8.5,49.78,1,0.13,Mid-Age Users,0.652,High,Highly Interested User,Highly Engaged Users,Recommend Premium Products,1,Buyer
62,51,Male,Desktop,7.97,11,13,6,0,1,0,8.16,47.09,1,0.13,Senior Users,0.56,Medium,Active Browser,High Intent Users,Offer Fast Checkout Discount,1,Buyer
63,27,Male,Mobile,17.67,12,13,4,0,1,1,22.99,47.56,1,0.29,Adults,0.529,Medium,Active Browser,High Intent Users,Offer Fast Checkout Discount,1,Buyer
64,53,Male,Tablet,15.73,13,14,0,1,0,0,13.93,38.11,1,0.26,Senior Users,0.31,Low,Active Browser,Interested Users,Recommend Popular Products,0,Non-Buyer
65,31,Female,Desktop,23.29,11,3,4,1,1,1,29.3,88.64,1,0.39,Adults,0.551,Medium,Active Browser,Low Retention Users,Send Personalized Offers,1,Buyer
66,48,Female,Desktop,22.98,11,8,4,0,0,1,23.12,52.1,1,0.38,Senior Users,0.549,Medium,Active Browser,High Intent Users,Offer Fast Checkout Discount,1,Buyer
67,32,Female,Mobile,20.45,9,7,3,1,0,0,12.75,97.39,1,0.34,Adults,0.445,Medium,Product Explorer,Low Retention Users,Send Personalized Offers,1,Buyer
68,25,Female,Mobile,14.02,11,8,5,1,0,1,17.57,84.65,1,0.23,Young Adults,0.545,Medium,Active Browser,Low Retention Users,Send Personalized Offers,1,Buyer
69,31,Male,Mobile,26.83,4,14,7,0,0,1,30.81,73.76,1,0.45,Adults,0.631,Medium,Visitor,Low Retention Users,Send Personalized Offers,1,Buyer
70,40,Male,Mobile,19.05,2,13,9,0,1,1,11.1,63.62,1,0.32,Mid-Age Users,0.659,High,Visitor,Highly Engaged Users,Recommend Premium Products,1,Buyer
71,57,Male,Mobile,29.72,4,5,4,0,1,1,28.24,83.52,1,0.5,Senior Users,0.484,Medium,Visitor,Low Retention Users,Send Personalized Offers,1,Buyer
72,38,Male,Mobile,24.76,14,8,7,1,0,1,24.43,88.17,1,0.41,Mid-Age Users,0.775,High,Active Browser,Low Retention Users,Send Personalized Offers,1,Buyer
73,33,Male,Mobile,2.28,5,3,4,1,1,0,2.63,13.32,0,0.04,Adults,0.316,Low,Product Explorer,High Intent Users,Offer Fast Checkout Discount,0,Non-Buyer
74,35,Male,Mobile,10.3,17,2,2,1,1,0,12.14,35.97,1,0.17,Adults,0.448,Medium,Highly Interested User,Interested Users,Recommend Popular Products,0,Non-Buyer
75,41,Female,Desktop,17.58,12,2,7,1,0,0,12.14,80.54,0,0.29,Mid-Age Users,0.696,High,Active Browser,Low Retention Users,Send Personalized Offers,1,Buyer
76,43,Female,Mobile,21.92,6,7,3,1,0,1,11.7,22.13,1,0.37,Mid-Age Users,0.408,Medium,Product Explorer,Casual Visitors,Recommend Popular Products,1,Buyer
77,42,Male,Mobile,16.96,12,1,2,1,0,1,21.95,58.62,1,0.28,Mid-Age Users,0.414,Medium,Active Browser,Interested Users,Recommend Popular Products,0,Non-Buyer
78,58,Female,Desktop,23.8,15,11,2,0,0,1,35.26,78.05,1,0.4,Senior Users,0.507,Medium,Highly Interested User,Low Retention Users,Send Personalized Offers,0,Non-Buyer
79,46,Male,Tablet,15.73,19,5,5,0,1,1,13.25,22.39,0,0.26,Senior Users,0.683,High,Highly Interested User,Highly Engaged Users,Recommend Premium Products,1,Buyer
80,32,Male,Mobile,6.33,10,8,7,0,0,1,6.34,40.2,1,0.11,Adults,0.589,Medium,Active Browser,High Intent Users,Offer Fast Checkout Discount,1,Buyer
81,18,Female,Mobile,2.56,2,14,9,0,0,0,2.63,91.51,1,0.04,Young Adults,0.549,Medium,Visitor,Low Retention Users,Send Personalized Offers,1,Buyer
82,42,Male,Mobile,17.63,12,8,4,1,1,1,25.22,35.6,1,0.29,Mid-Age Users,0.529,Medium,Active Browser,High Intent Users,Offer Fast Checkout Discount,1,Buyer
83,24,Male,Tablet,20.97,12,7,0,0,0,0,21.9,60.47,1,0.35,Young Adults,0.329,Low,Active Browser,Interested Users,Recommend Popular Products,0,Non-Buyer
84,26,Male,Desktop,10.46,7,7,0,0,0,0,8.13,43.38,1,0.17,Adults,0.18,Low,Product Explorer,Casual Visitors,Recommend Popular Products,0,Non-Buyer
85,41,Female,Desktop,18.79,1,0,2,0,1,1,22.13,87.7,1,0.31,Mid-Age Users,0.252,Low,Visitor,Low Retention Users,Send Personalized Offers,0,Non-Buyer
86,18,Female,Mobile,2.51,18,10,5,0,1,1,2.45,42.41,1,0.04,Young Adults,0.579,Medium,Highly Interested User,High Intent Users,Offer Fast Checkout Discount,1,Buyer
87,25,Not Specified,Mobile,3.88,3,6,1,1,0,0,14.3,49.88,1,0.06,Young Adults,0.129,Low,Visitor,Casual Visitors,Recommend Popular Products,0,Non-Buyer
88,41,Female,Mobile,21.35,5,13,0,0,0,0,27.4,17.33,1,0.36,Mid-Age Users,0.221,Low,Product Explorer,Casual Visitors,Recommend Popular Products,0,Non-Buyer
89,28,Male,Desktop,11.67,15,14,6,1,1,1,16.76,34.92,1,0.19,Adults,0.648,Medium,Highly Interested User,High Intent Users,Offer Fast Checkout Discount,1,Buyer
90,34,Female,Desktop,20.47,10,0,1,0,0,1,13.06,66.96,1,0.34,Adults,0.35,Low,Active Browser,Casual Visitors,Recommend Popular Products,0,Non-Buyer
91,25,Female,Tablet,25.12,19,8,7,1,1,0,25.66,17.58,1,0.42,Young Adults,0.856,High,Highly Interested User,Highly Engaged Users,Recommend Premium Products,1,Buyer
92,52,Female,Mobile,25.73,1,2,1,0,1,0,33.09,70.54,1,0.43,Senior Users,0.243,Low,Visitor,Low Retention Users,Send Personalized Offers,0,Non-Buyer
93,52,Male,Mobile,5.99,7,0,0,1,0,0,5.6,1.06,1,0.1,Senior Users,0.15,Low,Product Explorer,Casual Visitors,Recommend Popular Products,0,Non-Buyer
94,50,Female,Mobile,15.1,18,7,9,1,1,0,17.02,36.7,1,0.25,Senior Users,0.885,High,Highly Interested User,Highly Engaged Users,Recommend Premium Products,1,Buyer
95,22,Female,Desktop,22.28,2,6,1,1,0,0,29.34,46.59,1,0.37,Young Adults,0.236,Low,Visitor,Casual Visitors,Recommend Popular Products,0,Non-Buyer
96,59,Male,Desktop,23.45,19,1,1,0,1,1,22.83,9.61,1,0.39,Senior Users,0.512,Medium,Highly Interested User,Interested Users,Recommend Popular Products,0,Non-Buyer
97,56,Not Specified,Mobile,23.76,10,13,6,0,1,1,21.58,68.41,1,0.4,Senior Users,0.65,High,Active Browser,Highly Engaged Users,Recommend Premium Products,1,Buyer
98,58,Male,Mobile,7.62,15,6,0,0,0,1,5.19,10.28,1,0.13,Senior Users,0.288,Low,Highly Interested User,Interested Users,Recommend Popular Products,0,Non-Buyer
99,45,Male,Mobile,6.58,10,4,2,1,0,0,8.72,9.0,1,0.11,Mid-Age Users,0.313,Low,Active Browser,Casual Visitors,Recommend Popular Products,0,Non-Buyer
100,24,Female,Mobile,18.11,10,14,4,1,1,1,23.47,36.79,1,0.3,Young Adults,0.501,Medium,Active Browser,High Intent Users,Offer Fast Checkout Discount,1,Buyer
101,26,Male,Desktop,22.49,12,6,6,1,0,1,27.96,73.83,1,0.37,Adults,0.673,High,Active Browser,Low Retention Users,Send Personalized Offers,1,Buyer
102,25,Female,Mobile,10.26,8,9,5,0,1,1,9.17,96.37,1,0.17,Young Adults,0.472,Medium,Product Explorer,Low Retention Users,Send Personalized Offers,1,Buyer
103,29,Female,Desktop,4.04,14,0,7,0,0,0,4.38,77.6,1,0.07,Adults,0.637,Medium,Active Browser,Low Retention Users,Send Personalized Offers,1,Buyer
104,51,Female,Mobile,21.79,2,6,0,1,0,1,13.6,46.6,1,0.36,Senior Users,0.177,Low,Visitor,Casual Visitors,Recommend Popular Products,0,Non-Buyer
105,50,Female,Desktop,9.69,17,1,6,0,0,1,7.94,27.26,1,0.16,Senior Users,0.666,High,Highly Interested User,Highly Engaged Users,Recommend Premium Products,1,Buyer
106,40,Female,Mobile,5.82,6,1,8,1,0,0,5.44,30.14,1,0.1,Mid-Age Users,0.578,Medium,Product Explorer,High Intent Users,Offer Fast Checkout Discount,1,Buyer
107,41,Male,Desktop,5.28,8,14,6,0,1,1,2.87,28.37,1,0.09,Mid-Age Users,0.495,Medium,Product Explorer,High Intent Users,Offer Fast Checkout Discount,1,Buyer
108,54,Female,Mobile,10.13,1,6,5,1,0,0,6.11,27.83,1,0.17,Senior Users,0.361,Low,Visitor,High Intent Users,Offer Fast Checkout Discount,1,Buyer
109,52,Female,Mobile,18.19,3,2,8,1,0,0,24.19,6.91,1,0.3,Senior Users,0.613,Medium,Visitor,High Intent Users,Offer Fast Checkout Discount,1,Buyer
110,57,Female,Mobile,11.39,15,3,3,1,0,0,16.76,22.04,1,0.19,Senior Users,0.479,Medium,Highly Interested User,Interested Users,Recommend Popular Products,1,Buyer
111,39,Male,Mobile,1.6,17,14,9,0,0,0,1.32,10.79,1,0.03,Mid-Age Users,0.779,High,Highly Interested User,Highly Engaged Users,Recommend Premium Products,1,Buyer
112,38,Female,Mobile,3.81,7,13,5,0,0,0,2.31,0.74,1,0.06,Mid-Age Users,0.414,Medium,Product Explorer,High Intent Users,Offer Fast Checkout Discount,1,Buyer
113,52,Female,Mobile,9.42,14,6,5,1,0,1,13.52,28.56,1,0.16,Senior Users,0.562,Medium,Active Browser,High Intent Users,Offer Fast Checkout Discount,1,Buyer
114,18,Male,Tablet,20.13,3,13,9,0,0,1,28.47,35.22,1,0.34,Young Adults,0.682,High,Visitor,Highly Engaged Users,Recommend Premium Products,1,Buyer
115,52,Female,Mobile,3.86,18,1,2,0,1,1,4.46,92.74,1,0.06,Senior Users,0.421,Medium,Highly Interested User,Low Retention Users,Send Personalized Offers,0,Non-Buyer
116,54,Female,Desktop,17.26,5,0,6,1,1,1,14.47,99.48,1,0.29,Senior Users,0.527,Medium,Product Explorer,Low Retention Users,Send Personalized Offers,1,Buyer
117,31,Male,Tablet,15.73,15,1,0,0,0,0,2.74,57.94,1,0.26,Adults,0.342,Low,Highly Interested User,Interested Users,Recommend Popular Products,0,Non-Buyer
119,18,Female,Desktop,5.99,3,10,7,0,0,1,8.51,61.82,1,0.1,Young Adults,0.476,Medium,Visitor,High Intent Users,Offer Fast Checkout Discount,1,Buyer
120,22,Female,Mobile,2.95,18,0,7,0,1,0,3.67,49.76,1,0.05,Young Adults,0.693,High,Highly Interested User,Highly Engaged Users,Recommend Premium Products,1,Buyer
121,43,Female,Mobile,20.47,3,11,0,1,0,0,29.35,4.27,1,0.34,Mid-Age Users,0.184,Low,Visitor,Casual Visitors,Recommend Popular Products,0,Non-Buyer
122,31,Female,Mobile,14.44,8,11,3,0,0,0,9.24,4.46,1,0.24,Adults,0.389,Medium,Product Explorer,Casual Visitors,Recommend Popular Products,1,Buyer
123,56,Male,Tablet,25.1,19,2,5,0,0,1,15.29,3.08,1,0.42,Senior Users,0.745,High,Highly Interested User,Highly Engaged Users,Recommend Premium Products,1,Buyer
124,44,Male,Mobile,3.87,18,9,0,0,1,0,2.68,15.01,1,0.06,Mid-Age Users,0.31,Low,Highly Interested User,Interested Users,Recommend Popular Products,0,Non-Buyer
125,26,Male,Mobile,5.2,15,3,1,1,0,0,3.72,7.69,1,0.09,Adults,0.327,Low,Highly Interested User,Interested Users,Recommend Popular Products,0,Non-Buyer
126,32,Female,Mobile,9.89,14,4,5,1,0,0,13.13,19.47,1,0.16,Adults,0.565,Medium,Active Browser,High Intent Users,Offer Fast Checkout Discount,1,Buyer
127,32,Female,Desktop,23.21,16,14,7,1,0,0,33.0,51.92,1,0.39,Adults,0.796,High,Highly Interested User,Highly Engaged Users,Recommend Premium Products,1,Buyer
128,43,Female,Mobile,9.87,3,2,3,0,0,1,7.06,50.32,1,0.16,Mid-Age Users,0.28,Low,Visitor,Casual Visitors,Recommend Popular Products,0,Non-Buyer
129,59,Male,Desktop,12.84,15,8,4,1,0,1,12.36,34.42,1,0.21,Senior Users,0.545,Medium,Highly Interested User,High Intent Users,Offer Fast Checkout Discount,1,Buyer
130,30,Female,Desktop,9.75,19,4,7,0,1,0,9.31,66.6,1,0.16,Adults,0.754,High,Highly Interested User,Highly Engaged Users,Recommend Premium Products,1,Buyer
131,49,Female,Desktop,3.33,8,6,2,1,1,1,2.26,39.19,1,0.06,Senior Users,0.26,Low,Product Explorer,Casual Visitors,Recommend Popular Products,0,Non-Buyer
132,56,Female,Tablet,28.24,2,14,5,1,1,1,38.22,22.02,1,0.47,Senior Users,0.498,Medium,Visitor,High Intent Users,Offer Fast Checkout Discount,1,Buyer
133,49,Male,Desktop,16.91,17,13,0,0,0,0,17.29,69.22,1,0.28,Senior Users,0.381,Medium,Highly Interested User,Interested Users,Recommend Popular Products,0,Non-Buyer
134,21,Male,Mobile,23.85,12,10,3,1,0,0,25.43,98.02,1,0.4,Young Adults,0.515,Medium,Active Browser,Low Retention Users,Send Personalized Offers,1,Buyer
135,47,Female,Mobile,20.09,9,12,0,1,0,1,15.24,81.07,1,0.33,Senior Users,0.276,Low,Product Explorer,Low Retention Users,Send Personalized Offers,0,Non-Buyer
136,54,Female,Mobile,15.91,11,6,2,1,1,0,16.85,41.41,1,0.27,Senior Users,0.391,Medium,Active Browser,Interested Users,Recommend Popular Products,0,Non-Buyer
137,40,Female,Mobile,3.6,18,10,0,1,0,1,14.3,37.57,0,0.06,Mid-Age Users,0.308,Low,Highly Interested User,Interested Users,Recommend Popular Products,0,Non-Buyer
138,56,Male,Mobile,19.64,13,8,5,1,1,0,15.81,3.86,1,0.33,Senior Users,0.614,Medium,Active Browser,High Intent Users,Offer Fast Checkout Discount,1,Buyer
139,32,Male,Mobile,5.51,14,1,2,0,0,1,3.38,65.71,1,0.09,Adults,0.369,Medium,Active Browser,Interested Users,Recommend Popular Products,0,Non-Buyer
140,46,Male,Mobile,13.02,12,2,7,0,0,1,14.11,22.26,1,0.22,Senior Users,0.665,High,Active Browser,Highly Engaged Users,Recommend Premium Products,1,Buyer
141,53,Female,Tablet,19.24,15,3,6,1,1,1,21.85,68.35,1,0.32,Senior Users,0.698,High,Highly Interested User,Highly Engaged Users,Recommend Premium Products,1,Buyer
142,30,Male,Mobile,23.68,8,7,6,0,0,1,16.62,76.02,1,0.39,Adults,0.618,Medium,Product Explorer,Low Retention Users,Send Personalized Offers,1,Buyer
143,49,Female,Tablet,20.87,2,0,7,0,0,0,15.62,87.98,1,0.35,Senior Users,0.56,Medium,Visitor,Low Retention Users,Send Personalized Offers,1,Buyer
144,24,Female,Mobile,20.47,8,8,6,1,1,0,13.37,54.83,0,0.34,Young Adults,0.596,Medium,Product Explorer,High Intent Users,Offer Fast Checkout Discount,1,Buyer
145,39,Male,Desktop,5.32,5,4,4,1,1,1,7.56,83.0,1,0.09,Mid-Age Users,0.337,Low,Product Explorer,Low Retention Users,Send Personalized Offers,0,Non-Buyer
146,45,Female,Desktop,11.04,2,3,9,0,1,0,7.87,72.32,1,0.18,Mid-Age Users,0.605,Medium,Visitor,Low Retention Users,Send Personalized Offers,1,Buyer
147,19,Male,Mobile,2.24,10,12,7,1,0,0,1.14,35.3,1,0.04,Young Adults,0.562,Medium,Active Browser,High Intent Users,Offer Fast Checkout Discount,1,Buyer
148,59,Female,Mobile,21.86,10,7,7,0,0,1,29.3,10.64,1,0.36,Senior Users,0.693,High,Active Browser,Highly Engaged Users,Recommend Premium Products,1,Buyer
149,23,Female,Mobile,28.62,4,13,7,0,1,1,37.3,24.22,1,0.48,Young Adults,0.643,Medium,Visitor,High Intent Users,Offer Fast Checkout Discount,1,Buyer
150,45,Male,Mobile,8.66,4,8,9,1,1,1,8.28,84.46,1,0.14,Mid-Age Users,0.621,Medium,Visitor,Low Retention Users,Send Personalized Offers,1,Buyer
151,45,Female,Tablet,3.54,8,2,5,1,0,1,4.59,53.44,1,0.06,Mid-Age Users,0.428,Medium,Product Explorer,High Intent Users,Offer Fast Checkout Discount,1,Buyer
152,37,Female,Desktop,14.79,6,13,1,0,0,1,14.04,66.56,1,0.25,Mid-Age Users,0.249,Low,Product Explorer,Casual Visitors,Recommend Popular Products,0,Non-Buyer
153,47,Female,Mobile,25.84,15,3,7,0,0,1,18.72,80.61,1,0.43,Senior Users,0.798,High,Highly Interested User,Low Retention Users,Send Personalized Offers,1,Buyer
154,28,Female,Mobile,17.01,18,0,9,1,0,1,15.75,66.7,1,0.28,Adults,0.898,High,Highly Interested User,Highly Engaged Users,Recommend Premium Products,1,Buyer
